Type	Date/Time	Description
Annotation	11:44:22 10/20/2023	F_Grov_10_Kai_a
Sample	11:45:44 10/20/2023	Sample 35 acquired at 03:18:20
Annotation	11:45:44 10/20/2023	F_Grov_10_Kai_b
Sample	12:28:08 10/20/2023	Sample 36 acquired at 04:00:44
Annotation	12:28:08 10/20/2023	alufoil
Sample	12:29:26 10/20/2023	Sample 37 acquired at 04:02:02
Annotation	12:29:26 10/20/2023	F_Fin0_01_Kai_a
Sample	12:30:30 10/20/2023	Sample 38 acquired at 04:03:06
Annotation	12:30:30 10/20/2023	F_Fin0_01_Kai_b
Sample	12:38:58 10/20/2023	Sample 39 acquired at 04:11:34
Annotation	12:38:58 10/20/2023	F_Fin0_02_Kai_a
Sample	12:40:17 10/20/2023	Sample 40 acquired at 04:12:53
Annotation	12:40:17 10/20/2023	F_Fin0_02_Kai_b
Sample	12:48:57 10/20/2023	Sample 41 acquired at 04:21:33
Annotation	12:48:57 10/20/2023	F_Fin0_03_Kai_a
Sample	12:49:57 10/20/2023	Sample 42 acquired at 04:22:33
Annotation	12:49:57 10/20/2023	F_Fin0_03_Kai_b
Sample	12:57:38 10/20/2023	Sample 43 acquired at 04:30:14
Sample	12:59:02 10/20/2023	Sample 44 acquired at 04:31:38
Annotation	12:59:02 10/20/2023	F_Fin0_04_Kai_a
Sample	13:00:36 10/20/2023	Sample 45 acquired at 04:33:12
Annotation	13:00:36 10/20/2023	F_Fin0_04_Kai_b
Annotation	13:00:36 10/20/2023	F_Fin0_04_Kai_c
Sample	13:03:24 10/20/2023	Sample 46 acquired at 04:36:00
Annotation	13:03:24 10/20/2023	alufoil
Sample	13:13:43 10/20/2023	Sample 47 acquired at 04:46:19
Annotation	13:13:43 10/20/2023	F_Fin0_05_Kai_a
Sample	13:15:11 10/20/2023	Sample 48 acquired at 04:47:47
Annotation	13:15:11 10/20/2023	F_Fin0_05_Kai_b
Sample	13:23:25 10/20/2023	Sample 49 acquired at 04:56:01
Annotation	13:23:25 10/20/2023	F_Fin0_06_Kai_a
Sample	13:24:51 10/20/2023	Sample 50 acquired at 04:57:27
Annotation	13:24:51 10/20/2023	F_Fin0_06_Kai_b
Sample	13:31:55 10/20/2023	Sample 51 acquired at 05:04:31
Annotation	13:31:55 10/20/2023	F_Fin0_07_Kai_a
